country_code	country	delta	date
AZE	Azerbaijan	0	2022-03-18
CYP	Cyprus	0	2022-03-18
CZE	Czech Republic	0	2022-03-18
DEU	Germany	0	2022-03-18
DNK	Denmark	0	2022-03-18
EST	Estonia	0	2022-03-18
FIN	Finland	1	2022-03-18
GEO	Georgia	0	2022-03-18
GRC	Greece	0	2022-03-18
HRV	Croatia	0	2022-03-18
HUN	Hungary	0	2022-03-18
ISR	Israel	0	2022-03-18
JPN	Japan	0	2022-03-18
KAZ	Kazakhstan	0	2022-03-18
LTU	Lithuania	0	2022-03-18
LVA	Latvia	0	2022-03-18
MLT	Malta	0	2022-03-18
NOR	Norway	1	2022-03-18
POL	Poland	0	2022-03-18
SRB	Serbia	0	2022-03-18
SVK	Slovakia	0	2022-03-18
SVN	Slovenia	2	2022-03-18
SWE	Sweden	0	2022-03-18